"","Date","X11C"
"4","6/18/13",0.0889466666666667
"5","6/19/13",0.0846708333333333
"6","6/20/13",0.083675
"7","6/21/13",0.0829166666666667
"8","6/22/13",0.0799291666666667
"9","6/23/13",0.0794
"10","6/24/13",0.0791416666666667
"11","6/25/13",0.0794333333333333
"12","6/26/13",0.0780333333333333
"13","6/27/13",0.078925
"14","6/28/13",0.0786875
"15","6/29/13",0.0796541666666667
"16","6/30/13",0.0801666666666667
"17","7/1/13",0.090575
"28","7/2/13",0.0925125
"39","7/3/13",0.0941833333333333
"42","7/4/13",0.100841666666667
"43","7/5/13",0.101308333333333
"44","7/6/13",0.0971875
"45","7/7/13",0.0973333333333333
"46","7/8/13",0.0947833333333333
"47","7/9/13",0.09275
"18","7/10/13",0.0915875
"19","7/11/13",0.14045
"20","7/12/13",0.203083333333333
"21","7/13/13",0.193475
"22","7/14/13",0.182716666666667
"23","7/15/13",0.171733333333333
"24","7/16/13",0.165191666666667
"25","7/17/13",0.159058333333333
"26","7/18/13",0.191833333333333
"27","7/19/13",0.218916666666667
"29","7/20/13",0.2086
"30","7/21/13",0.19925
"31","7/22/13",0.19235
"32","7/23/13",0.183595833333333
"33","7/24/13",0.173695833333333
"34","7/25/13",0.1848875
"35","7/26/13",0.18895
"36","7/27/13",0.322916666666667
"37","7/28/13",0.303795833333333
"38","7/29/13",0.294145833333333
"40","7/30/13",0.285691666666667
"41","7/31/13",0.278145833333333
"48","8/1/13",0.310566666666667
"59","8/2/13",0.302779166666667
"70","8/3/13",0.308279166666667
"73","8/4/13",0.29705
"74","8/5/13",0.286591666666667
"75","8/6/13",0.276091666666667
"76","8/7/13",0.26435
"77","8/8/13",0.2505375
"78","8/9/13",0.232679166666667
"49","8/10/13",0.218616666666667
"50","8/11/13",0.3167
"51","8/12/13",0.309666666666667
"52","8/13/13",0.305191666666667
"53","8/14/13",0.2927
"54","8/15/13",0.2783125
"55","8/16/13",0.2627625
"56","8/17/13",0.243454166666667
"57","8/18/13",0.223104166666667
"58","8/19/13",0.206625
"60","8/20/13",0.195804166666667
"61","8/21/13",0.187
"62","8/22/13",0.176375
"63","8/23/13",0.169454166666667
"64","8/24/13",0.168391666666667
"65","8/25/13",0.169508333333333
"66","8/26/13",0.166204166666667
"67","8/27/13",0.1599875
"68","8/28/13",0.155854166666667
"69","8/29/13",0.1908125
"71","8/30/13",0.191458333333333
"72","8/31/13",0.1809375
"79","9/1/13",0.170895833333333
"90","9/2/13",0.160766666666667
"101","9/3/13",0.152875
"103","9/4/13",0.1456625
"104","9/5/13",0.1401375
"105","9/6/13",0.134891666666667
"106","9/7/13",0.1317125
"107","9/8/13",0.1283
"108","9/9/13",0.125483333333333
"80","9/10/13",0.149041666666667
"81","9/11/13",0.242525
"82","9/12/13",0.314741666666667
"83","9/13/13",0.335879166666667
"84","9/14/13",0.324254166666667
"85","9/15/13",0.319633333333333
"86","9/16/13",0.322308333333333
"87","9/17/13",0.31355
"88","9/18/13",0.3065
"89","9/19/13",0.299933333333333
"91","9/20/13",0.293375
"92","9/21/13",0.284158333333333
"93","9/22/13",0.277433333333333
"94","9/23/13",0.272366666666667
"95","9/24/13",0.266375
"96","9/25/13",0.260725
"97","9/26/13",0.255729166666667
"98","9/27/13",0.250170833333333
"99","9/28/13",0.243929166666667
"100","9/29/13",0.238720833333333
"102","9/30/13",0.233995833333333
"1","10/1/13",0.2286
"2","10/2/13",0.2229875
"3","10/3/13",0.218663636363636
